GEO,COICOP,TIME,VALUE
EE,CP00,2010-09-01,3.8
EE,CP00,2010-10-01,4.4
EE,CP00,2010-11-01,5.1
EE,CP00,2010-12-01,5.4
EE,CP00,2011-01-01,5.1
EE,CP00,2011-02-01,5.5
EE,CP00,2011-03-01,5.1
EE,CP00,2011-04-01,5.4
EE,CP00,2011-05-01,5.5
EE,CP00,2011-06-01,4.9
EE,CP00,2011-07-01,5.3
EE,CP00,2011-08-01,5.6
EE,CP00,2011-09-01,5.3
EE,CP00,2011-10-01,4.7
EE,CP00,2011-11-01,4.4
EE,CP00,2011-12-01,4.1
EE,CP00,2012-01-01,4.7
EE,CP00,2012-02-01,4.4
EE,CP00,2012-03-01,4.6
EE,CP00,2012-04-01,4.3
EE,CP00,2012-05-01,4.1
EE,CP00,2012-06-01,4.4
EE,CP00,2012-07-01,4.1
EE,CP00,2012-08-01,4.2
EE,CP00,2012-09-01,4.1
EE,CP00,2012-10-01,4.2
EE,CP00,2012-11-01,3.8
EE,CP00,2012-12-01,3.6
EE,CP00,2013-01-01,3.7
EE,CP00,2013-02-01,4.0
EE,CP00,2013-03-01,3.8
EE,CP00,2013-04-01,3.4
EE,CP00,2013-05-01,3.6
EE,CP00,2013-06-01,4.1
EE,CP00,2013-07-01,4.0
EE,CP00,2013-08-01,3.6
EE,CP00,2013-09-01,2.6
EE,CP00,2013-10-01,2.2
EE,CP00,2013-11-01,2.1
EE,CP00,2013-12-01,2.0
EE,CP00,2014-01-01,1.6
EE,CP00,2014-02-01,1.1
EE,CP00,2014-03-01,0.7
EE,CP00,2014-04-01,0.8
EE,CP00,2014-05-01,0.6
EE,CP00,2014-06-01,0.4
EE,CP00,2014-07-01,0.0
EE,CP00,2014-08-01,-0.2
EE,CP00,2014-09-01,0.2
EE,CP00,2014-10-01,0.5
EE,CP00,2014-11-01,0.0
EE,CP00,2014-12-01,0.1
EE,CP00,2015-01-01,-0.5
EE,CP00,2015-02-01,-0.2
EE,CP00,2015-03-01,0.0
EE,CP00,2015-04-01,0.4
EE,CP00,2015-05-01,0.5
EE,CP00,2015-06-01,0.3
EE,CP00,2015-07-01,0.1
EE,CP00,2015-08-01,0.2
EE,CP00,2015-09-01,-0.3
EE,CP00,2015-10-01,0.0
EE,CP00,2015-11-01,0.5
EE,CP00,2015-12-01,-0.2
EE,CP00,2016-01-01,0.1
EE,CP00,2016-02-01,0.4
EE,CP00,2016-03-01,0.5
