GEO,LANGUAGE,QOUTE,TIME,VALUE
BE,fr,inflation,2022-05-01,49
BE,fr,inflation,2022-06-01,59
BE,fr,inflation,2022-07-01,46
BE,fr,inflation,2022-08-01,53
BE,fr,inflation,2022-09-01,60
BE,fr,inflation,2022-10-01,57
BE,fr,inflation,2022-11-01,50
BE,fr,inflation,2022-12-01,46
BE,fr,inflation,2023-01-01,52
BE,fr,inflation,2023-02-01,41
BE,fr,inflation,2023-03-01,43
BE,fr,inflation,2023-04-01,34
BE,fr,inflation,2023-05-01,36
BE,fr,inflation,2023-06-01,36
BE,fr,inflation,2023-07-01,26
BE,fr,inflation,2023-08-01,31
BE,fr,inflation,2023-09-01,35
BE,fr,inflation,2023-10-01,36
BE,fr,inflation,2023-11-01,38
BE,fr,inflation,2023-12-01,34
BE,fr,inflation,2024-01-01,36
BE,fr,inflation,2024-02-01,33
BE,fr,inflation,2024-03-01,33
BE,fr,inflation,2024-04-01,34
BE,fr,inflation,2024-05-01,30
BE,fr,inflation,2024-06-01,26
BE,fr,inflation,2024-07-01,27
BE,fr,inflation,2024-08-01,28
BE,fr,inflation,2024-09-01,28
BE,fr,inflation,2024-10-01,33
BE,fr,inflation,2024-11-01,34
BE,fr,inflation,2024-12-01,32
BE,fr,inflation,2025-01-01,36
BE,fr,inflation,2025-02-01,32
BE,fr,inflation,2025-03-01,31
BE,fr,inflation,2025-04-01,36
BE,fr,inflation,2025-05-01,24
BE,fr,inflation,2025-06-01,26
BE,fr,inflation,2025-07-01,24
BE,fr,inflation,2025-08-01,27
BE,fr,inflation,2025-09-01,30
BE,fr,inflation,2025-10-01,31
BE,fr,inflation,2025-11-01,86
BE,fr,inflation,2025-12-01,100
BE,fr,inflation,2026-01-01,70
BE,fr,inflation,2026-02-01,66
BG,bg,инфлация,2014-01-01,27
BG,bg,инфлация,2014-02-01,22
BG,bg,инфлация,2014-03-01,24
BG,bg,инфлация,2014-04-01,22
BG,bg,инфлация,2014-05-01,24
BG,bg,инфлация,2014-06-01,23
BG,bg,инфлация,2014-07-01,9
BG,bg,инфлация,2014-08-01,12
BG,bg,инфлация,2014-09-01,19
BG,bg,инфлация,2014-10-01,18
BG,bg,инфлация,2014-11-01,18
BG,bg,инфлация,2014-12-01,18
BG,bg,инфлация,2015-01-01,30
BG,bg,инфлация,2015-02-01,21
BG,bg,инфлация,2015-03-01,22
BG,bg,инфлация,2015-04-01,22
BG,bg,инфлация,2015-05-01,20
BG,bg,инфлация,2015-06-01,23
BG,bg,инфлация,2015-07-01,13
BG,bg,инфлация,2015-08-01,14
BG,bg,инфлация,2015-09-01,9
BG,bg,инфлация,2015-10-01,13
BG,bg,инфлация,2015-11-01,15
BG,bg,инфлация,2015-12-01,16
BG,bg,инфлация,2016-01-01,21
BG,bg,инфлация,2016-02-01,11
BG,bg,инфлация,2016-03-01,17
BG,bg,инфлация,2016-04-01,17
BG,bg,инфлация,2016-05-01,14
BG,bg,инфлация,2016-06-01,15
BG,bg,инфлация,2016-07-01,7
BG,bg,инфлация,2016-08-01,9
BG,bg,инфлация,2016-09-01,14
BG,bg,инфлация,2016-10-01,14
BG,bg,инфлация,2016-11-01,13
BG,bg,инфлация,2016-12-01,17
BG,bg,инфлация,2017-01-01,20
BG,bg,инфлация,2017-02-01,16
BG,bg,инфлация,2017-03-01,14
BG,bg,инфлация,2017-04-01,15
BG,bg,инфлация,2017-05-01,19
BG,bg,инфлация,2017-06-01,17
BG,bg,инфлация,2017-07-01,8
BG,bg,инфлация,2017-08-01,7
BG,bg,инфлация,2017-09-01,12
BG,bg,инфлация,2017-10-01,17
BG,bg,инфлация,2017-11-01,16
BG,bg,инфлация,2017-12-01,19
BG,bg,инфлация,2018-01-01,23
BG,bg,инфлация,2018-02-01,23
BG,bg,инфлация,2018-03-01,18
BG,bg,инфлация,2018-04-01,13
BG,bg,инфлация,2018-05-01,18
BG,bg,инфлация,2018-06-01,15
BG,bg,инфлация,2018-07-01,11
BG,bg,инфлация,2018-08-01,15
BG,bg,инфлация,2018-09-01,17
BG,bg,инфлация,2018-10-01,24
BG,bg,инфлация,2018-11-01,20
BG,bg,инфлация,2018-12-01,17
BG,bg,инфлация,2019-01-01,27
BG,bg,инфлация,2019-02-01,25
BG,bg,инфлация,2019-03-01,17
BG,bg,инфлация,2019-04-01,19
BG,bg,инфлация,2019-05-01,16
BG,bg,инфлация,2019-06-01,19
BG,bg,инфлация,2019-07-01,11
BG,bg,инфлация,2019-08-01,14
BG,bg,инфлация,2019-09-01,13
BG,bg,инфлация,2019-10-01,17
BG,bg,инфлация,2019-11-01,15
BG,bg,инфлация,2019-12-01,15
BG,bg,инфлация,2020-01-01,28
BG,bg,инфлация,2020-02-01,30
BG,bg,инфлация,2020-03-01,34
BG,bg,инфлация,2020-04-01,33
BG,bg,инфлация,2020-05-01,24
BG,bg,инфлация,2020-06-01,26
